Institution,Institution URI
Gray Freshwater Biological Institute,http://history.archives.mbl.edu/concepts/institution/a4c391cc-d7ff-4c67-9c2c-e09b84e710e0
Operations Evaluation Group,http://history.archives.mbl.edu/concepts/institution/433b0763-2dfc-4ce5-b849-2d86f785c7c0
Clinical Research Institute,http://history.archives.mbl.edu/concepts/institution/3a2d54f1-8d24-4201-81b0-22ac000878e5
Corporate Research Laboratory Union Carbide Corporation,http://history.archives.mbl.edu/concepts/institution/0e6d76db-9c45-4965-b484-eb9948ed254b
Max Planck Institute Of Immunobiology,http://history.archives.mbl.edu/concepts/institution/020c734b-a267-43c0-9f7e-b1848109edb8
Tulane Univeristy,http://history.archives.mbl.edu/concepts/institution/01604e57-9e30-4d80-a6f2-c5f7b24d38ff
Technion University,http://history.archives.mbl.edu/concepts/institution/57efbff7-7b66-4a08-b93b-7b0ebf717441
Baylor University,http://history.archives.mbl.edu/concepts/institution/c61a2d87-215a-4181-ad3a-b44cd069d932
National Council Of Research And Development Israel Institute Of Biological Research,http://history.archives.mbl.edu/concepts/institution/3b533241-63b7-4559-989b-ea8188e94f2c
Us Food And Drug Admin,http://history.archives.mbl.edu/concepts/institution/35d96acb-fdbd-4c4c-aa9d-5898870941ff
Hunter College Of City Of New York,http://history.archives.mbl.edu/concepts/institution/b59f3c50-db39-45aa-85bc-d166d7a0eb3d
Veterinary University Vienna,http://history.archives.mbl.edu/concepts/institution/ec736f9b-48b8-494a-b063-a24e599426b2
Feinberg School Of Medicine Northwestern University,http://history.archives.mbl.edu/concepts/institution/45af3376-1e61-4721-b425-cbd002dbc426
Indiana State University,http://history.archives.mbl.edu/concepts/institution/259277b8-2a49-489e-b057-fca6b540ea62
Research Professor Of Ophthalmology Washington University Medical School,http://history.archives.mbl.edu/concepts/institution/05becb40-09cf-460b-818f-87ff7429fb03
North Carolina State Of University Of North Carolina At Raleigh,http://history.archives.mbl.edu/concepts/institution/a7cb3c23-7221-4033-9fc7-42468f50f3a3
Saint Louis University,http://history.archives.mbl.edu/concepts/institution/669db74e-32fe-4b4a-a462-feb9d5057bcc
La Jolla,http://history.archives.mbl.edu/concepts/institution/2e13726a-5e6c-4cbb-92cb-bd965347d56f
Fidia Research Laboratories,http://history.archives.mbl.edu/concepts/institution/12f3be7a-398a-4df4-994f-b44257a7a025
Showa University Research Institute,http://history.archives.mbl.edu/concepts/institution/ca211349-a9f0-4e31-9c45-1ed3847ab142
Escola Paulista De Medicina,http://history.archives.mbl.edu/concepts/institution/f879e649-4c36-403d-99e7-b8798ff9ec95
Raytheon Polar Services,http://history.archives.mbl.edu/concepts/institution/a40eb35c-5f0a-4e71-9814-6c27ce96d065
Payload Systems Inc,http://history.archives.mbl.edu/concepts/institution/73a44df8-1b76-44bd-bf13-5ef5e9cddd49
National Institute On Aging Nih,http://history.archives.mbl.edu/concepts/institution/2e76d2b2-2a63-4b1e-9ae8-e43b5f33d789
N Y U Medical School,http://history.archives.mbl.edu/concepts/institution/a2cf9e13-b125-4f1d-82de-7f5a44f24f4e
College Of City Of New York,http://history.archives.mbl.edu/concepts/institution/b6c640d0-b10f-44a1-9606-fbffc1621ff7
Palm Beach Post,http://history.archives.mbl.edu/concepts/institution/5e12d299-4b94-44cb-840f-dece13eb75fc
Forschungszentrum Juelich,http://history.archives.mbl.edu/concepts/institution/16a66418-00c8-4cdc-80cb-3be95b4c35c7
Universityof Pennsylvania,http://history.archives.mbl.edu/concepts/institution/84d2f94c-db33-48b7-a2ff-e8881cae28d9
Institute For Molecular And Cellular Evolution University Of Miami,http://history.archives.mbl.edu/concepts/institution/e4f1bdd4-60ee-4863-9119-82d0c782c245
Walter And Eliza Hall Institute,http://history.archives.mbl.edu/concepts/institution/a48af202-bf3d-4cc2-94d1-66e2c0008140
Manhattanville College Of Sacred,http://history.archives.mbl.edu/concepts/institution/70d74e1a-a5cf-40ec-9b3a-c3ca9c81c0ba
Ruhr University Of Bochun,http://history.archives.mbl.edu/concepts/institution/cdd692a7-ef5f-483f-90f7-e91bd66865f0
Edgewood College,http://history.archives.mbl.edu/concepts/institution/67a0b1bc-013a-40f4-93e2-5d769468fc1e
Transylvania College,http://history.archives.mbl.edu/concepts/institution/26706822-de1c-4c57-a150-f5e22fbd25cd
Wellcome Trust Centre For Cell Matrix Res,http://history.archives.mbl.edu/concepts/institution/67c87afe-0350-43c6-ac42-0ed658340299
National Resource Defense Council,http://history.archives.mbl.edu/concepts/institution/fc774e53-6475-40fa-abb8-75c737f168c5
University Of Georgia School Of Medicine,http://history.archives.mbl.edu/concepts/institution/1a0132eb-0c9f-41b4-830b-d703e58d9949
Center For Advanced Biotechnology And Medicine,http://history.archives.mbl.edu/concepts/institution/f0edef6a-857f-4505-8e14-adc2c7ef1ac7
Univeristy Of Kansas,http://history.archives.mbl.edu/concepts/institution/7134b8a5-a74c-424e-b030-462b29cbd269
Ibm Corp,http://history.archives.mbl.edu/concepts/institution/ffbbd200-d533-48ad-9db0-2aea609f6aac
University Of Central Florida,http://history.archives.mbl.edu/concepts/institution/4d80d752-76a2-4b0c-b86a-ecb8ec0c71b6
Krasnow Institute,http://history.archives.mbl.edu/concepts/institution/0e7c26ac-6d0d-4f72-9ae9-cd17813c45c8
National Science Foundation,http://history.archives.mbl.edu/concepts/institution/25f4ec17-a50e-4498-845f-cd71d1ba5bd8
Schering Corporation,http://history.archives.mbl.edu/concepts/institution/5b14964a-a9df-435a-a80f-17b7f8693080
Max Planck Institut Fur Hirnforschung,http://history.archives.mbl.edu/concepts/institution/3789694f-405a-4d27-abd6-5f0b141fa629
Chiba University Japan And Newcomb College,http://history.archives.mbl.edu/concepts/institution/fba25a49-0860-4592-8481-df13421a7197
National University Of Cordoba,http://history.archives.mbl.edu/concepts/institution/219746cf-cbeb-4050-9694-f12673fa9d39
Fundacion Irauy,http://history.archives.mbl.edu/concepts/institution/8c0359c0-08d8-4709-89d9-73e5882ae57e
Iscr Edinburgh University,http://history.archives.mbl.edu/concepts/institution/77626461-2fb0-4787-a2b7-3f1eba414f48
Gau Gottingen,http://history.archives.mbl.edu/concepts/institution/f7afe8f6-ab50-4beb-ad73-b35d1e7ee71f
