Year,Course URI,Course Group URI,Course Group,Course Name
1972,http://history.archives.mbl.edu/concepts/course/9318ac9e-ca1c-4d45-b924-ad498c7f5d9a,http://history.archives.mbl.edu/concepts/coursegroup/a4b36667-176f-468b-a9d9-92e3f5efa754,Excitable Membrane Physiology And Biophysics Training Program,Excitable Membrane Physiology And Biophysics Training Program 1972
1973,http://history.archives.mbl.edu/concepts/course/df84db84-2b7e-4bfc-add0-06fc9bef371e,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1973
1973,http://history.archives.mbl.edu/concepts/course/62563f2c-fabd-4f85-ade4-0846c7e4bc9e,http://history.archives.mbl.edu/concepts/coursegroup/47798ea7-dff4-4921-b4cf-d54d53b5dacb,Experimental Marine Botany,Experimental Marine Botany 1973
1973,http://history.archives.mbl.edu/concepts/course/4f1b8ec0-bc98-40a5-b42a-1dfa0bb74c97,http://history.archives.mbl.edu/concepts/coursegroup/0846bbf3-c8c9-4f95-8c42-7a4c90f19c55,Experimental Invertebrate Zoology,Experimental Invertebrate Zoology 1973
1973,http://history.archives.mbl.edu/concepts/course/af7e33c7-955c-4126-87b7-84d7a887c900,http://history.archives.mbl.edu/concepts/coursegroup/be016a9b-f5fd-41bb-8bc4-44b77328090b,Marine Ecology,Marine Ecology 1973
1973,http://history.archives.mbl.edu/concepts/course/351d0610-b61d-4ad7-8068-42d086b9d452,http://history.archives.mbl.edu/concepts/coursegroup/f6e857d4-cc35-4735-a0bd-c66d8a7a3875,Neurobiology,Neurobiology 1973
1973,http://history.archives.mbl.edu/concepts/course/20920dbf-8aef-4058-9e66-007d82adaef9,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1973
1973,http://history.archives.mbl.edu/concepts/course/66e36169-fbb9-4151-a450-441743104f52,http://history.archives.mbl.edu/concepts/coursegroup/6a19528a-7c6c-4691-b12d-5086ad742fa5,Fertilization And Gamete Physiology Research Training Program,Fertilization And Gamete Physiology Research Training Program 1973
1973,http://history.archives.mbl.edu/concepts/course/d72cf77c-af49-48ec-83a6-f33b5a9b7c7b,http://history.archives.mbl.edu/concepts/coursegroup/a4b36667-176f-468b-a9d9-92e3f5efa754,Excitable Membrane Physiology And Biophysics Training Program,Excitable Membrane Physiology And Biophysics Training Program 1973
1973,http://history.archives.mbl.edu/concepts/course/c7901a9a-70e4-4193-bced-45424f8f4e8d,http://history.archives.mbl.edu/concepts/coursegroup/6ed75d79-df3a-4439-bd64-5e3783e78afd,Research Program In Experimental Marine Biology,Research Program In Experimental Marine Biology 1973
1974,http://history.archives.mbl.edu/concepts/course/d3ec5f91-c5e4-4599-9724-40725aa9e4e6,http://history.archives.mbl.edu/concepts/coursegroup/59ce91f9-e021-481d-a195-b14146518cc5,Developmental Biology,Developmental Biology 1974
1974,http://history.archives.mbl.edu/concepts/course/2a00c010-53ac-414f-9652-3facb251bbad,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1974
1974,http://history.archives.mbl.edu/concepts/course/dbb2e567-0f84-4db9-9a68-a89baafb4d59,http://history.archives.mbl.edu/concepts/coursegroup/47798ea7-dff4-4921-b4cf-d54d53b5dacb,Experimental Marine Botany,Experimental Marine Botany 1974
1974,http://history.archives.mbl.edu/concepts/course/78716814-2c31-4c1b-a209-cece76563f50,http://history.archives.mbl.edu/concepts/coursegroup/0846bbf3-c8c9-4f95-8c42-7a4c90f19c55,Experimental Invertebrate Zoology,Experimental Invertebrate Zoology 1974
1974,http://history.archives.mbl.edu/concepts/course/5f75403e-bbd6-4103-85d9-5e3397de4554,http://history.archives.mbl.edu/concepts/coursegroup/be016a9b-f5fd-41bb-8bc4-44b77328090b,Marine Ecology,Marine Ecology 1974
1974,http://history.archives.mbl.edu/concepts/course/39cb1f37-d68e-48d0-b9c8-3788ce8ec1b4,http://history.archives.mbl.edu/concepts/coursegroup/f6e857d4-cc35-4735-a0bd-c66d8a7a3875,Neurobiology,Neurobiology 1974
1974,http://history.archives.mbl.edu/concepts/course/b05a2ac3-853d-4f69-9d13-28161f41f3a2,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1974
1974,http://history.archives.mbl.edu/concepts/course/8bf46c97-7e32-4b00-94dc-683e02219f61,http://history.archives.mbl.edu/concepts/coursegroup/6a19528a-7c6c-4691-b12d-5086ad742fa5,Fertilization And Gamete Physiology Research Training Program,Fertilization And Gamete Physiology Research Training Program 1974
1974,http://history.archives.mbl.edu/concepts/course/09982e8a-2f45-4925-b8bb-9ee7dcdcdc4b,http://history.archives.mbl.edu/concepts/coursegroup/a4b36667-176f-468b-a9d9-92e3f5efa754,Excitable Membrane Physiology And Biophysics Training Program,Excitable Membrane Physiology And Biophysics Training Program 1974
1974,http://history.archives.mbl.edu/concepts/course/397f9d04-728c-45aa-8d27-152eda9baf2f,http://history.archives.mbl.edu/concepts/coursegroup/6ed75d79-df3a-4439-bd64-5e3783e78afd,Research Program In Experimental Marine Biology,Research Program In Experimental Marine Biology 1974
